FID,modern_name,day,month,year,Date_Notes,latitude,longitude,County,notes,Sources,Sou,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,Count,BekyntonMY,BekyntonYM,BekYMD
1027,Wells Palace,12,12,1464,,51.20932,-2.64373,Somerset,,,,,,,,,,,,,,,1,12/1464,1464/12,1464/12/12
1028,Wells Palace,12,12,1464,,51.20932,-2.64373,Somerset,,,,,,,,,,,,,,,1,12/1464,1464/12,1464/12/12
1029,Wells Palace,24,12,1464,,51.20932,-2.64373,Somerset,,,,,,,,,,,,,,,1,12/1464,1464/12,1464/12/24
1030,Wells Palace,31,12,1464,,51.20932,-2.64373,Somerset,,,,,,,,,,,,,,,1,12/1464,1464/12,1464/12/31
1031,Wells Palace,10,1,1465,,51.20932,-2.64373,Somerset,,,,,,,,,,,,,,,1,1/1465,1465/1,1465/1/10
1032,Wells Palace,10,5,1456,,51.20932,-2.64373,Somerset,,,,,,,,,,,,,,,1,5/1456,1456/5,1456/5/10
1033,Wells Palace,30,5,1456,,51.20932,-2.64373,Somerset,,,,,,,,,,,,,,,1,5/1456,1456/5,1456/5/30
1034,Wells Palace,29,11,1456,,51.20932,-2.64373,Somerset,,,,,,,,,,,,,,,1,11/1456,1456/11,1456/11/29
1035,Wells Palace,30,11,1456,,51.20932,-2.64373,Somerset,,,,,,,,,,,,,,,1,11/1456,1456/11,1456/11/30
1036,Wells Palace,19,6,1451,,51.20932,-2.64373,Somerset,eve of holy trinity,,,,,,,,,,,,,,1,6/1451,1451/6,1451/6/19
1037,Wells Palace,5,12,1451,,51.20932,-2.64373,Somerset,Ordained acolytes,,,,,,,,,,,,,,1,12/1451,1451/12,1451/12/5
1038,Wells Palace,18,12,1451,,51.20932,-2.64373,Somerset,Saturday of the four seasons,,,,,,,,,,,,,,1,12/1451,1451/12,1451/12/18
1039,Wells Palace,19,12,1451,,51.20932,-2.64373,Somerset,Sunday of Advent,,,,,,,,,,,,,,1,12/1451,1451/12,1451/12/19
1040,Wells Palace,25,3,1452,,51.20932,-2.64373,Somerset,,,,,,,,,,,,,,,1,3/1452,1452/3,1452/3/25
1041,Wells Palace,26,3,1452,,51.20932,-2.64373,Somerset,Passion Sunday,,,,,,,,,,,,,,1,3/1452,1452/3,1452/3/26
1042,Wells Palace,9,4,1452,,51.20932,-2.64373,Somerset,Ordained acolyte Easter day,,,,,,,,,,,,,,1,4/1452,1452/4,1452/4/9
1043,Wells Palace,3,6,1452,,51.20932,-2.64373,Somerset,,,,,,,,,,,,,,,1,6/1452,1452/6,1452/6/3
1044,Wells Palace,22,1,1453,,51.20932,-2.64373,Somerset,Ordained acolytes,,,,,,,,,,,,,,1,1/1453,1453/1,1453/1/22
1045,Wells Palace,21,9,1454,,51.20932,-2.64373,Somerset,,,,,,,,,,,,,,,1,9/1454,1454/9,1454/9/21
1046,Wells Palace,22,9,1454,,51.20932,-2.64373,Somerset,,,,,,,,,,,,,,,1,9/1454,1454/9,1454/9/22
1047,Wells Palace,20,9,1455,,51.20932,-2.64373,Somerset,,,,,,,,,,,,,,,1,9/1455,1455/9,1455/9/20
1048,Wells Palace,20,12,1455,,51.20932,-2.64373,Somerset,,,,,,,,,,,,,,,1,12/1455,1455/12,1455/12/20
1049,Wells Palace,29,2,1456,,51.20932,-2.64373,Somerset,Monday in Easter week following,,,,,,,,,,,,,,1,2/1456,1456/2,1456/2/29
1050,Wells Palace,22,5,1456,,51.20932,-2.64373,Somerset,Eve of Holy Trinity,,,,,,,,,,,,,,1,5/1456,1456/5,1456/5/22
1051,Wells Palace,19,12,1456,,51.20932,-2.64373,Somerset,new oratory in palace,,,,,,,,,,,,,,1,12/1456,1456/12,1456/12/19
1052,Wells Palace,31,1,1457,,51.20932,-2.64373,Somerset,ordained,,,,,,,,,,,,,,1,1/1457,1457/1,1457/1/31
1053,Wells Palace,11,12,1457,,51.20932,-2.64373,Somerset,,,,,,,,,,,,,,,1,12/1457,1457/12,1457/12/11
1054,Wells Palace,17,12,1457,,51.20932,-2.64373,Somerset,,,,,,,,,,,,,,,1,12/1457,1457/12,1457/12/17
1055,Wells Palace,17,12,1457,,51.20932,-2.64373,Somerset,ordained,,,,,,,,,,,,,,1,12/1457,1457/12,1457/12/17
1056,Wells Palace,25,2,1458,,51.20932,-2.64373,Somerset,,,,,,,,,,,,,,,1,2/1458,1458/2,1458/2/25
1057,Wells Palace,1,4,1458,,51.20932,-2.64373,Somerset,Holy Saturday,,,,,,,,,,,,,,1,4/1458,1458/4,1458/4/1
1058,Westminster,4,3,1445,,51.495233,-0.143119,Middlesex,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,3/1445,1445/3,1445/3/4
1059,Westminster,28,11,1461,,51.495233,-0.143119,Middlesex,,,,,,,,,,,,,,,1,11/1461,1461/11,1461/11/28
1060,Winchester,4,7,1449,,51.058342,-1.316477,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,7/1449,1449/7,1449/7/4
1061,Winchester,10,7,1449,,51.058342,-1.316477,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,7/1449,1449/7,1449/7/10
1062,Winchester,12,7,1449,,51.058342,-1.316477,Hampshire,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,7/1449,1449/7,1449/7/12
1063,Winchester College of St. Mary,24,5,1447,,51.05834,-1.31259,Hampshire,College of St. Mary by Winchester,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,5/1447,1447/5,1447/5/24
1064,Woky,6,4,1444,,51.2021,-2.702724,Somerset,p. 10,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1444,1444/4,1444/4/6
1065,Woky,8,4,1444,,51.2021,-2.702724,Somerset,Presently known as Wookey,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1444,1444/4,1444/4/8
1066,Woky,13,4,1444,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Master John Bernard,Treasurer,Master John Stokys,Canon of Wells,John Dygon,notary-public,,,1,4/1444,1444/4,1444/4/13
1067,Woky,17,4,1444,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1444,1444/4,1444/4/17
1068,Woky,19,4,1444,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1444,1444/4,1444/4/19
1069,Woky,19,4,1444,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1444,1444/4,1444/4/19
1070,Woky,15,7,1444,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,7/1444,1444/7,1444/7/15
1071,Woky,4,8,1444,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1444,1444/8,1444/8/4
1072,Woky,10,8,1444,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1444,1444/8,1444/8/10
1073,Woky,2,10,1444,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1444,1444/10,1444/10/2
1074,Woky,10,10,1444,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1444,1444/10,1444/10/10
1075,Woky,10,10,1444,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1444,1444/10,1444/10/10
1076,Woky,10,10,1444,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1444,1444/10,1444/10/10
1077,Woky,10,10,1444,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1444,1444/10,1444/10/10
1078,Woky,12,10,1444,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1444,1444/10,1444/10/12
1079,Woky,28,8,1445,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1445,1445/8,1445/8/28
1080,Woky,10,9,1445,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1445,1445/9,1445/9/10
1081,Woky,11,9,1445,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1445,1445/9,1445/9/11
1082,Woky,11,9,1445,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1445,1445/9,1445/9/11
1083,Woky,12,9,1445,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1445,1445/9,1445/9/12
1084,Woky,13,9,1445,,51.2021,-2.702724,Somerset,,"p. 46 - look re: """"present vicar""""",Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1445,1445/9,1445/9/13
1085,Woky,13,9,1445,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1445,1445/9,1445/9/13
1086,Woky,13,9,1445,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1445,1445/9,1445/9/13
1087,Woky,16,9,1445,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1445,1445/9,1445/9/16
1088,Woky,17,9,1445,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1445,1445/9,1445/9/17
1089,Woky,19,9,1445,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1445,1445/9,1445/9/19
1090,Woky,20,9,1445,,51.2021,-2.702724,Somerset,,"on the presentation of the abbess and convent of Shaftesbury""""",Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1445,1445/9,1445/9/20
1091,Woky,1,10,1445,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1445,1445/10,1445/10/1
1092,Woky,3,10,1445,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1445,1445/10,1445/10/3
1093,Woky,4,10,1445,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1445,1445/10,1445/10/4
1094,Woky,4,10,1445,,51.2021,-2.702724,Somerset,,"On the same day the bishop by word of mouth ordered Master John Bernard, canon of Wells, to install and induct the said Thomas",Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1445,1445/10,1445/10/4
1095,Woky,4,10,1445,,51.2021,-2.702724,Somerset,Chapter-house of the hospital,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1445,1445/10,1445/10/4
1096,Woky,4,10,1445,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1445,1445/10,1445/10/4
1097,Woky,4,10,1445,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1445,1445/10,1445/10/4
1098,Woky,5,10,1445,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1445,1445/10,1445/10/5
1099,Woky,5,10,1445,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1445,1445/10,1445/10/5
1100,Woky,6,10,1445,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1445,1445/10,1445/10/6
1101,Woky,2,4,1446,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1446,1446/4,1446/4/2
1102,Woky,7,4,1446,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1446,1446/4,1446/4/7
1103,Woky,12,4,1446,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1446,1446/4,1446/4/12
1104,Woky,13,4,1446,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Master Hugh ugar,"Doctor of laws, the bishop's chancellor",Nicholas Collys,Clerk,John Touker,notary-public,Master Robert Peuesy,,1,4/1446,1446/4,1446/4/13
1105,Woky,25,4,1446,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1446,1446/4,1446/4/25
1106,Woky,3,5,1446,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,5/1446,1446/5,1446/5/3
1107,Woky,4,5,1446,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,5/1446,1446/5,1446/5/4
1108,Woky,26,5,1446,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,5/1446,1446/5,1446/5/26
1109,Woky,28,5,1446,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,5/1446,1446/5,1446/5/28
1110,Woky,23,8,1446,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Master Thomas Merssh,,Master John Russell,,William Langton,notary-public,,,1,8/1446,1446/8,1446/8/23
1111,Woky,28,8,1446,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1446,1446/8,1446/8/28
1112,Woky,29,8,1446,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1446,1446/8,1446/8/29
1113,Woky,10,10,1446,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,Canon of Wells,1,10/1446,1446/10,1446/10/10
1114,Woky,18,12,1446,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Nicholas Seyntloo,"Esquire, elected sheriff of Somerset and Dorset",,,,,,,1,12/1446,1446/12,1446/12/18
1115,Woky,20,12,1446,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,12/1446,1446/12,1446/12/20
1116,Woky,0,0,1446,,51.2021,-2.702724,Somerset,left blank,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,/1446,1446/,1446//
1117,Woky,24,1,1447,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1447,1447/1,1447/1/24
1118,Woky,25,1,1447,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Sir John Valens,Chaplain,John Touker,notary-public,,,,,1,1/1447,1447/1,1447/1/25
1119,Woky,24,1,1447,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1447,1447/1,1447/1/24
1120,Woky,1,10,1447,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,Robert Stawel,,1,10/1447,1447/10,1447/10/1
1121,Woky,2,10,1447,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1447,1447/10,1447/10/2
1122,Woky,8,11,1447,,51.2021,-2.702724,Somerset,,,,,,,,,,,,,,,1,11/1447,1447/11,1447/11/8
1123,Woky,27,11,1447,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1447,1447/11,1447/11/27
1124,Woky,19,12,1447,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,12/1447,1447/12,1447/12/19
1125,Woky,20,12,1447,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,12/1447,1447/12,1447/12/20
1126,Woky,21,12,1447,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,12/1447,1447/12,1447/12/21
1127,Woky,10,1,1448,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1448,1448/1,1448/1/10
1128,Woky,25,1,1448,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,1/1448,1448/1,1448/1/25
1129,Woky,31,3,1448,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,3/1448,1448/3,1448/3/31
1130,Woky,12,4,1448,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1448,1448/4,1448/4/12
1131,Woky,12,4,1448,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1448,1448/4,1448/4/12
1132,Woky,14,4,1448,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1448,1448/4,1448/4/14
1133,Woky,28,8,1448,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1448,1448/8,1448/8/28
1134,Woky,9,10,1448,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1448,1448/10,1448/10/9
1135,Woky,21,8,1449,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1449,1449/8,1449/8/21
1136,Woky,22,8,1449,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1449,1449/8,1449/8/22
1137,Woky,29,9,1449,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1449,1449/9,1449/9/29
1138,Woky,30,9,1449,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1449,1449/9,1449/9/30
1139,Woky,7,11,1449,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1449,1449/11,1449/11/7
1140,Woky,13,4,1450,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1450,1450/4,1450/4/13
1141,Woky,16,9,1450,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1450,1450/9,1450/9/16
1142,Woky,18,9,1450,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1450,1450/9,1450/9/18
1143,Woky,22,9,1450,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1450,1450/9,1450/9/22
1144,Woky,11,10,1450,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1450,1450/10,1450/10/11
1145,Woky,17,10,1450,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Master Thomas Merssh,,John Touker,"notary-public, bishop's registrar",,,,,1,10/1450,1450/10,1450/10/17
1146,Woky,19,10,1450,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1450,1450/10,1450/10/19
1147,Woky,13,5,1451,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,Canon of Wells,1,5/1451,1451/5,1451/5/13
1148,Woky,25,5,1451,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,5/1451,1451/5,1451/5/25
1149,Woky,22,6,1451,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,6/1451,1451/6,1451/6/22
1150,Woky,2,7,1451,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,7/1451,1451/7,1451/7/2
1151,Woky,3,7,1451,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,7/1451,1451/7,1451/7/3
1152,Woky,4,7,1451,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,7/1451,1451/7,1451/7/4
1153,Woky,15,7,1451,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,7/1451,1451/7,1451/7/15
1154,Woky,26,8,1451,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1451,1451/8,1451/8/26
1155,Woky,31,8,1451,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1451,1451/8,1451/8/31
1156,Woky,31,8,1451,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,8/1451,1451/8,1451/8/31
1157,Woky,11,9,1451,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Sir John Gayne,Vicar of Staunton Drew,Sir Henry Hayne,Chaplain,John Touker,"clerk, notary-public",,,1,9/1451,1451/9,1451/9/11
1158,Woky,15,9,1451,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1451,1451/9,1451/9/15
1159,Woky,3,9,1452,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1452,1452/9,1452/9/3
1160,Woky,5,9,1452,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,9/1452,1452/9,1452/9/5
1161,Woky,10,10,1452,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1452,1452/10,1452/10/10
1162,Woky,11,10,1452,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1452,1452/10,1452/10/11
1163,Woky,15,10,1452,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1452,1452/10,1452/10/15
1164,Woky,15,10,1452,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1452,1452/10,1452/10/15
1165,Woky,17,10,1452,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1452,1452/10,1452/10/17
1166,Woky,24,10,1452,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1452,1452/10,1452/10/24
1167,Woky,24,10,1452,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,10/1452,1452/10,1452/10/24
1168,Woky,7,11,1452,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1452,1452/11,1452/11/7
1169,Woky,11,11,1452,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1452,1452/11,1452/11/11
1170,Woky,7,11,1452,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,11/1452,1452/11,1452/11/7
1171,Woky,14,12,1453,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,12/1453,1453/12,1453/12/14
1172,Woky,15,12,1453,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,12/1453,1453/12,1453/12/15
1173,Woky,16,12,1453,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,12/1453,1453/12,1453/12/16
1174,Woky,1,2,1454,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Master William Fulford,Canon of Wells,Richard Chocke,,John Touker,notary-public,,,1,2/1454,1454/2,1454/2/1
1175,Woky,8,2,1454,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,2/1454,1454/2,1454/2/8
1176,Woky,20,2,1454,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,2/1454,1454/2,1454/2/20
1177,Woky,26,2,1454,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,Master William Fulford,,1,2/1454,1454/2,1454/2/26
1178,Woky,27,2,1454,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,2/1454,1454/2,1454/2/27
1179,Woky,1,3,1454,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,3/1454,1454/3,1454/3/1
1180,Woky,5,3,1454,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,3/1454,1454/3,1454/3/5
1181,Woky,27,3,1454,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,3/1454,1454/3,1454/3/27
1182,Woky,30,4,1454,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,,,,,,,,,1,4/1454,1454/4,1454/4/30
1183,Woky,7,5,1454,,51.2021,-2.702724,Somerset,,,Register of Thomas Bekynton,Thomas Bekynton,Bishop,,Master John Morton,,Master William Mowter,,Thomas Merssh,Rector of the church of Horsyngton,,,1,5/1454,1454/5,1454/5/7
